,Station_ID,Station_name,Latitude,Longitude,Ville,Pays
134,ES0774A,ES0774A-LA GINEBROSA,40.851667,-0.148056,GINEBROSA (LA),ES
135,ES0775A,ES0775A-PUENTE AZUCARERO,42.671391,-2.029444,ESTELLA/LIZARRA,ES
136,ES0777A,ES0777A-PRESA DE VILLAGUDÍN,43.095000,-8.494722,ORDES,ES
137,ES0785A,ES0785A-ROMERALEJO,37.267250,-6.919050,HUELVA,ES
138,ES0787A,ES0787A-TORREARENILLA,37.190331,-6.904531,PALOS DE LA FRONTERA,ES
139,ES0788A,ES0788A-CASTRO GALEGOS,43.046387,-8.333894,FRADES,ES
140,ES0789A,ES0789A-LA UNION,37.614998,-0.889444,CARTAGENA,ES
141,ES0792A,ES0792A-FENOSA,42.423058,-7.006945,BARCO DE VALDEORRAS (O),ES
142,ES0793A,ES0793A-MONTE XALO,43.221947,-8.403333,CARRAL,ES
143,ES0801A,ES0801A-IB-EL PRAT,41.333332,2.093889,PRAT DE LLOBREGAT (EL),ES
144,ES0802A,ES0802A-CASA DE CULTURA,42.825001,-1.616403,BURLADA/BURLATA,ES
145,ES0805A,ES0805A-BASAURI,43.241111,-2.884167,BASAURI,ES
146,ES0812A,ES0812A-TORREVELILLA,40.906944,-0.113611,TORREVELILLA,ES
147,ES0813A,ES0813A-LA CEROLLERA,40.841944,-0.057500,CEROLLERA (LA),ES
148,ES0817A,ES0817A-LA RANILLA,37.384250,-5.959619,SEVILLA,ES
149,ES0818A,ES0818A-MACARENA,37.405281,-5.986392,SEVILLA,ES
150,ES0822A,ES0822A-LA ORDEN,37.279639,-6.938069,HUELVA,ES
151,ES0823A,ES0823A-PUNTA UMBRÍA,37.185681,-6.964139,PUNTA UMBRÍA,ES
152,ES0824A,ES0824A-MERIÑÁN,43.308889,-5.703889,LANGREO,ES
153,ES0825A,ES0825A-LA FELGUERA,43.306389,-5.689722,LANGREO,ES
154,ES0827A,ES0827A-SAN JUÁN DEL PUERTO,37.315400,-6.844631,SAN JUAN DEL PUERTO,ES
155,ES0839A,ES0839A-SANDUCELAY,42.821667,-1.668611,PAMPLONA/IRUÑA,ES
156,ES0873A,ES0873A-JINÁMAR III FASE,28.035117,-15.416306,PALMAS DE GRAN CANARIA (LAS),ES
157,ES0874A,ES0874A-Q2-BARRIADA DE MALANYEU,42.196667,1.892500,NOU DE BERGUEDÀ (LA),ES
158,ES0879A,ES0879A-LLARANES,43.551667,-5.880833,AVILÉS,ES
159,ES0880A,ES0880A-LLANOPONTE,43.542222,-5.941111,AVILÉS,ES
160,ES0882A,ES0882A-AJUNTAMENT,41.494446,2.031945,RUBÍ,ES
161,ES0886A,ES0886A-PEDRO LEZCANO,28.029889,-15.416092,TELDE,ES
162,ES0890A,ES0890A-TORNEO,37.394519,-6.003100,SEVILLA,ES
163,ES0892A,ES0892A-LA RÁBIDA,37.199769,-6.920269,PALOS DE LA FRONTERA,ES
164,ES0893A,ES0893A-GUADARRANQUE,36.182100,-5.411411,SAN ROQUE,ES
165,ES0894A,ES0894A-MADREVIEJA,36.204419,-5.404711,SAN ROQUE,ES
166,ES0901A,ES0901A-S. VICENTE DE VIGO,43.235000,-8.317222,CAMBRE,ES
167,ES0905A,ES0905A-GETXO,43.354167,-3.013333,GETXO,ES
168,ES0915A,ES0915A-GETAFE,40.302776,-3.736947,GETAFE,ES
169,ES0917A,ES0917A-ENRAMADILLA,37.379719,-5.973617,SEVILLA,ES
170,ES0918A,ES0918A-HOSPITAL MANUEL LOIS,37.258057,-6.942222,HUELVA,ES
171,ES0924A,ES0924A-ESPIEL,38.166946,-5.026667,ESPIEL,ES
172,ES0925A,ES0925A-EL VACAR,38.081387,-4.858611,VILLAVICIOSA DE CÓRDOBA,ES
173,ES0926A,ES0926A-POBLADO,38.108139,-4.926800,ESPIEL,ES
174,ES0955A,ES0955A-Q4-SANT CORNELI,42.183891,1.856950,,ES
175,ES0956A,ES0956A-Q1-VALLCEBRE,42.203888,1.671669,,ES
176,ES0957A,ES0957A-Q3-SANT JORDI,42.150833,1.859175,,ES
177,ES0961A,ES0961A-CAMPELO,42.434166,-8.673612,POIO,ES
178,ES0963A,ES0963A-ESCOLA,41.475278,1.982500,CASTELLBISBAL,ES
179,ES0971A,ES0971A-IC-SANT ANDREU DE LA BARCA,41.452222,1.975833,SANT ANDREU DE LA BARCA,ES
180,ES0975A,ES0975A-AH-SARRIÁ DE TER,42.018612,2.823061,SARRIÀ DE TER,ES
181,ES0991A,ES0991A-AJUNTAMENT,41.886389,2.876389,CASSÀ DE LA SELVA,ES
182,ES1016A,ES1016A-LA RUBIA,41.631664,-4.740000,VALLADOLID,ES
183,ES1018A,ES1018A-E1-TERRASSA,41.555556,2.007778,TERRASSA,ES
184,ES1019A,ES1019A-E4-MATARO,41.540833,2.430011,MATARÓ,ES
185,ES1020A,ES1020A-E5-SABADELL,41.529999,2.119192,SABADELL,ES
186,ES1024A,ES1024A-MIRADOR,41.472221,1.977789,CASTELLBISBAL,ES
187,ES1027A,ES1027A-E3-VIC,41.928059,2.250281,VIC,ES
188,ES1032A,ES1032A-SANTA TERESA,41.661114,-4.725286,VALLADOLID,ES
189,ES1033A,ES1033A-SÁSTAGO,41.321111,-0.363333,SÁSTAGO,ES
190,ES1034A,ES1034A-NUCLEAR,41.279722,-0.218889,ESCATRÓN,ES
191,ES1035A,ES1035A-CERCEDA,43.185833,-8.468611,CERCEDA,ES
192,ES1037A,ES1037A-BARREDA,43.367778,-4.043611,TORRELAVEGA,ES
193,ES1038A,ES1038A-ZAPATÓN,43.346111,-4.049722,TORRELAVEGA,ES
194,ES1039A,ES1039A-ESCUELA DE MINAS,43.355833,-4.063611,TORRELAVEGA,ES
195,ES1040A,ES1040A-FADIBÓN,42.948056,-9.157778,CEE,ES
196,ES1044A,ES1044A-EL PICARRAL,41.670278,-0.871111,ZARAGOZA,ES
197,ES1045A,ES1045A-MIGUEL SERVET,41.636948,-0.870558,ZARAGOZA,ES
198,ES1046A,ES1046A-LUIS VIVES,41.639168,-0.893897,ZARAGOZA,ES
199,ES1047A,ES1047A-ROGER DE FLOR,41.651389,-0.916111,ZARAGOZA,ES
